组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
03c9fd40ccd84a54ac8ec985058988e3,11640001,中国烟草总公司宁夏回族自治区烟草公司,中国烟草总公司宁夏回族自治区烟草公司,640100,640000
f402f5dc5db449f493f47df21edfed0c,11340001,中国烟草总公司安徽省公司,安徽省烟草公司,340100,340000
1a403ae7b94a4e0b8da4814d3b67e210,22340001,中国烟草总公司安徽省公司卷烟销售部,安徽省卷烟销售公司,340100,340000
2a67129e1fcd4d8691131655274f8b20,11370001,中国烟草总公司山东省公司,山东省烟草公司,370100,370000
5c96083389504cf6a334ccc130145197,11140001,中国烟草总公司山西省公司,山西省烟草,140100,140000
b8af612d5c754dd2a5718bab2722d8fb,11440001,中国烟草总公司广东省公司,广东省烟草公司,440000,440000
d13d282ebb04441c83ecf2aa531dce86,11320001,中国烟草总公司江苏省公司,中国烟草总公司江苏省公司,320000,320000
0bfdc862695944c98e43b4e4db0b60bc,11360001,中国烟草总公司江西省公司,中国烟草总公司江西省公司,360000,360000
c90e4c7f0e1a47fd929d5cdb62b599c2,22360001,中国烟草总公司江西省公司卷烟销售分公司,中国烟草总公司江西省公司卷烟销售分公司,360000,360000
e99c165c7be34d9e814bc4b363213319,11130001,中国烟草总公司河北省公司,河北省烟草,130100,130000
bac0f807821948e99045658b7150afc9,11410001,中国烟草总公司河南省公司,中国烟草总公司河南省公司,410000,410000
12fb6400d93a49cc830824aa12793217,11330001,中国烟草总公司浙江省公司,浙江省烟草公司,330100,330000
b45ec4fb76564e9889f6f22b371d9102,11460001,中国烟草总公司海南省公司,海南省烟草公司,460000,460000
aaa654bbd42d48baab7bffb5e27d58d0,11440301,中国烟草总公司深圳市公司,深圳市烟草分公司,440300,440300
a46d75b062e4479598c151ef6f3c088e,11420001,中国烟草总公司湖北省公司,湖北省烟草公司,420000,420000
b4afda157dd849a387f9b6893867a6db,11430001,中国烟草总公司湖南省公司,湖南省烟草公司,430000,430000
79d0877961744e36890434fdfd2d1ea9,16410102,中国烟草总公司职工技术培训中心,中国烟草总公司职工技术培训中心,410100,410000
513248e5547f48b9b60ebfbbd4a700b7,11520001,中国烟草总公司贵州省公司,中国烟草总公司贵州省公司贵州省烟草,520100,520000
0752b33d3d98407cb536817d408d4093,11210001,中国烟草总公司辽宁省公司,辽宁省烟草,210100,210000
4d669fa8f08f4319aa53119be754e93c,16410101,中国烟草总公司郑州中等专业学校,郑州中等专业学校,410100,410000
23943cf5972645628db17e7b395f6e5c,17410001,中国烟草总公司郑州烟草研究院,郑州烟草研究院,410100,410000
9ab850694ded4a76832c5f2b5684cf63,11500001,中国烟草总公司重庆市公司,重庆市烟草公司,500000,500000
cc8caddb6e5045a1a553c9ada0805754,17500101,中国烟草总公司重庆市公司烟草科学研究所,重庆市公司烟草科学研究所,500100,500000
f5794dbb16fe4e8ca128d41820221704,22500001,中国烟草总公司重庆市公司销售分公司,重庆市卷烟销售分公司,500000,500000
498c7776cbf2462682a89f0a2ab55973,11610001,中国烟草总公司陕西省公司,陕西省烟草公司,610000,610000
3780246026e64d1e8bd97c5eb841180e,11630001,中国烟草总公司青海省公司,中国烟草总公司青海省公司,630000,630000
a4d8dd0dc1d44e079a29f0bb8074bb3b,11230001,中国烟草总公司黑龙江省公司,黑龙江省烟草,230100,230000
22b3a4c29aef433284545c10ac14d3d6,23000001,中国烟草机械集团有限责任公司,中国烟草机械集团有限责任公司,110000,110000
c776b0c6883b495296b73476b1508ac6,18410001,中国烟草河南进出口有限责任公司,中国烟草河南进出口有限责任公司,410000,410000
2e010140693c416ba265ea4c7eb0e992,18420001,中国烟草湖北进出口有限责任公司,中国烟草湖北进出口有限责任公司,420000,420000
9c2f15cacb754d80a04bf2dfcde0a427,18430001,中国烟草湖南进出口有限责任公司,中国烟草湖南进出口有限责任公司,430000,430000
aa517a4fb62f4b82b5e7ba412de0e895,21000001,中国烟草物资公司,中国烟草物资公司,110000,110000
bbf873a8eb11482ea65c229d75005a48,18350001,中国烟草福建进出口有限责任公司,中国烟草福建进出口有限责任公司,350000,350000
0d9ec8511db54ed18c448dd5e1b68515,99530401,中国烟草种子公司,中国烟草种子公司,530400,530000
3af49f5170e24402a5d9d21f9fbecd8e,16000001,中国烟草职工培训中心,中国烟草职工培训中心,110000,110000
31fca2911497403495d1ff47a5c1cf10,18520001,中国烟草贵州进出口公司,中国烟草贵州进出口公司,520000,520000
cd356f59dc8d4076ad502fa46524ddf0,18210001,中国烟草辽宁进出口公司,中国烟草辽宁进出口公司,210000,210000
e8a9dd728859467abd3ace55cd5c7c18,18230001,中国烟草黑龙江进出口有限责任公司,中国烟草黑龙江进出口有限责任公司,230000,230000
ed35493bfe1f4db8839d8575f2a80529,10640303,中宁县烟草专卖局,中宁县局,640521,640000
d80455a68cbd4d868f5c02c25a654296,11640305,中宁县烟草公司,中宁县烟草公司,640300,640000
3eb6f22b6f7044528c460f7708dcf6d5,10442001,中山市烟草专卖局,中山市局,442000,440000
87093e91e7a8486abdbccd09350f0276,10510607,中江县烟草专卖局,中江县局,510623,510000
8b7d1c540dba49e085fa2d184a59881a,99530402,中烟施伟策（云南）再造烟叶有限公司,中烟施伟策（云南）再造烟叶有限公司,530400,530000
8919c25734d34326a7bdcc3879502767,99000006,中烟烟机零配件采购服务中心有限责任公司,烟机零配件采购服务中心,110106,110000
13feed6270a5459aa54dfa3ebdd4ac73,99000001,中烟电子商务公司,中烟电子商务公司,110000,110000
813b62d16c5a489f986a206a4951e96c,10410109,中牟县烟草专卖局,中牟县局,410122,410000
0c0b4904072e433f9c0261eba659d9bb,99420102,中维地产武汉有限公司,中维地产武汉有限公司,420100,420000
d9d9337c10984470879f0a60e34da6ce,99000005,中维地产股份有限公司,中维地产股份有限公司,110117,110000
dc76b10d27614049b2caf7ef23f9a41d,99520001,中维地产贵州有限公司,中维地产贵州有限公司,520100,520000
0d33dfed5af34037bf7533f1a5cef0b6,99500101,中维地产重庆有限公司,中维地产重庆有限公司,500100,500000
c72a5525c4734b6c995c3ce717133b30,10142312,中阳县烟草专卖局,中阳县局,141129,140000
c13bcbb71442433bb3aa887c32ccd5c4,10130203,丰南区烟草专卖局,丰南区局,130207,130000
ec182defbd074e62b1e58c9ab34fc966,10320302,丰县烟草专卖局,丰县局,320321,320000
44ceee215caf4488a65a998ce9062ed2,11360902,丰城市烟草公司,丰城市烟草公司,360900,360000
55032fe113a4480e94b30cf1adbd0106,10130807,丰宁满族自治县烟草专卖局,丰宁满族自治县局,130826,130000
5615345f3e94472ea8675f1c51b106e6,10130202,丰润区烟草专卖局,丰润区局,130208,130000
ba0f3755536e4093abcd21483a8ecc54,10441408,丰顺县烟草专卖局,丰顺县局,441423,440000
fa3280830e9e4db09421a1b2af22a70f,10142307,临县烟草专卖局,临县局,141124,140000
b655fcc22b6a47668b76a893bee5ed26,10130506,临城县烟草专卖局,临城县局,130522,130000
d97c5409deef40e7bc5a32e2b7dfc9c7,10622906,临夏县烟草专卖局,临夏县烟草专卖局,622900,620000
297291740a874e9faef5382ef9250ce7,10622905,临夏市烟草专卖局,临夏市烟草专卖局,622900,620000
3d7acda7965841e1ba59d235b16476e7,10330107,临安市烟草专卖局,浙江省临安市局,330100,330000
9196f18b19a54ef98bb7e60af27168b2,10370706,临朐县烟草专卖局,临朐县局,370724,370000
b0c65398a061465cbff11a304d2fc729,10450302,临桂县烟草专卖局,临桂县局,450322,450000
38f99dd2bd9d4f548dfac63db95ba380,10431006,临武县烟草专卖局,临武县局,431025,430000
5c5b766beabf425582fbfc50cb1c7917,10220602,临江市烟草专卖局,临江市局,220681,220000
35886895a04248b289c2fbe24b6018f0,10141002,临汾市尧都区烟草专卖局,临汾市尧都区局,141002,140000
8f2463b3ff384dc4b656b83126bbc6a0,10141001,临汾市烟草专卖局,临汾市局,141000,140000
524d6b446c064fa99349050a9ddb5b39,10371306,临沂市兰山区烟草专卖局,临沂市兰山区局,371302,370000
