论文里的名字,﻿组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
贵州毕节市烟草公司金沙公司,727f78b3a83541c3997c458d4096322e,14520003,"贵州烟叶复烤有限责任公司毕节复烤厂",贵州烟叶毕节复烤厂,522401,520000
贵州毕节烟草公司,727f78b3a83541c3997c458d4096322e,14520003,"贵州烟叶复烤有限责任公司毕节复烤厂",贵州烟叶毕节复烤厂,522401,520000
贵州毕节烟草公司大方县分公司,727f78b3a83541c3997c458d4096322e,14520003,"贵州烟叶复烤有限责任公司毕节复烤厂",贵州烟叶毕节复烤厂,522401,520000
贵州湄潭县烟草公司,2bafbe91c32344a5a826718b552447fd,14520004,"贵州烟叶复烤有限责任公司湄潭复烤厂",贵州烟叶湄潭复烤厂,520300,520000
贵州湄潭烟草公司,2bafbe91c32344a5a826718b552447fd,14520004,"贵州烟叶复烤有限责任公司湄潭复烤厂",贵州烟叶湄潭复烤厂,520300,520000
贵州烟六盘水市烟草公司,6494848060eb422a9c2933a4575083f1,10520205,贵州省六盘水市烟草专卖局钟山区局,六盘水市局钟山区局,520201,520000
贵州烟草专卖局,dc76b10d27614049b2caf7ef23f9a41d,99520001,中维地产贵州有限公司,中维地产贵州有限公司,520100,520000
贵州烟草专卖局经济信息中心,8919c25734d34326a7bdcc3879502767,99000006,中烟烟机零配件采购服务中心有限责任公司,烟机零配件采购服务中心,110106,110000
贵州烟草公司,dc76b10d27614049b2caf7ef23f9a41d,99520001,中维地产贵州有限公司,中维地产贵州有限公司,520100,520000
贵州烟草公司企管法规处,dc76b10d27614049b2caf7ef23f9a41d,99520001,中维地产贵州有限公司,中维地产贵州有限公司,520100,520000
贵州烟草公司安顺市公司,93c15ebf17554a5386e2ffb86b7bf1d5,14520401,贵州省安顺市烟叶复烤厂,贵州省安顺市烟叶复烤厂,520400,520000
贵州烟草公司遵义市公司,e80be023f07643fca18a6c09edb357d6,14520002,贵州烟叶复烤有限责任公司遵义复烤厂,贵州烟叶遵义复烤厂,520300,520000
贵州烟草公司遵义市公司凤冈分公司,e80be023f07643fca18a6c09edb357d6,14520002,贵州烟叶复烤有限责任公司遵义复烤厂,贵州烟叶遵义复烤厂,520300,520000
贵州烟草公司黔南州公司,295291745076467e903697f800a1407f,11522701,贵州省烟草公司黔南州公司,贵州省烟草黔南州公司,522700,520000
贵州烟草公司黔西分公司,ce20dcd410204646bdaeb16f02f40d91,14520007,"贵州烟叶复烤有限责任公司黔西南复烤厂",贵州烟叶黔西南复烤厂,522301,520000
贵州烟草品质研究重点实验室,103a6c364f0547e9bfe1293a3d1cdb93,17520001,贵州省烟草科学研究所,贵州省烟草科学研究所,520100,520000
贵州烟草复烤有限责任公司湄潭复烤厂,2bafbe91c32344a5a826718b552447fd,14520004,"贵州烟叶复烤有限责任公司湄潭复烤厂",贵州烟叶湄潭复烤厂,520300,520000
贵州烟草学会,dc76b10d27614049b2caf7ef23f9a41d,99520001,中维地产贵州有限公司,中维地产贵州有限公司,520100,520000
贵州烟草所,dc76b10d27614049b2caf7ef23f9a41d,99520001,中维地产贵州有限公司,中维地产贵州有限公司,520100,520000
贵州烟草毕节市分公司,727f78b3a83541c3997c458d4096322e,14520003,"贵州烟叶复烤有限责任公司毕节复烤厂",贵州烟叶毕节复烤厂,522401,520000
贵州烟草省公司,4ac6d2f32a9440458a100d39027d9d42,12522301,贵州省兴义卷烟厂,兴义卷烟厂,522300,520000
贵州烟草研究所,103a6c364f0547e9bfe1293a3d1cdb93,17520001,贵州省烟草科学研究所,贵州省烟草科学研究所,520100,520000
贵州烟草科学研究所,103a6c364f0547e9bfe1293a3d1cdb93,17520001,贵州省烟草科学研究所,贵州省烟草科学研究所,520100,520000
贵州烟草科学研究院,103a6c364f0547e9bfe1293a3d1cdb93,17520001,贵州省烟草科学研究所,贵州省烟草科学研究所,520100,520000
贵州烟草质量监督检测站,fd65bb2f6a4b4f6c9519b45cf24acbc0,17000001,国家烟草质量监督检验中心,国家烟草质量监督检验中心,410100,410000
贵州烟草贵阳市公司开阳分公司,c16471251b8b46189bfe9c70d682e3de,11520103,贵阳市分公司开阳县烟草公司,贵阳市开阳县烟草公司,520100,520000
贵州瓮安县烟草公司,0de251efc42248f795c7aa2aa2a8e7f8,11522712,瓮安县公司,瓮安县公司,522700,520000
贵州盘县烟草分公司,87ba1b94a40a48ed874d54f9c5dc538f,11520203,贵州省烟草公司盘县公司,贵州省烟草公司盘县公司,520200,520000
贵州省(黔南州烟草公司福泉市分公司,295291745076467e903697f800a1407f,11522701,贵州省烟草公司黔南州公司,贵州省烟草黔南州公司,522700,520000
贵州省三穗县烟草公司,4ac6d2f32a9440458a100d39027d9d42,12522301,贵州省兴义卷烟厂,兴义卷烟厂,522300,520000
